id,note
61098,        는 연간 6000병이 출시되며 2013년 빈티지를 기반을 만들어졌다 2013년 10월에 수확을 진행하였으며 복합미와 긴 피니쉬가 인상적이며 클래식한  의 와인이다 추가적인 숙성을 통하면 좀 더 풍부한 풍미를 경험할 수 있으며 는 2/ 이다
61584,     2013은 따뜻하고 건조한 봄철 이른 수확을 통해 뛰어난 품질의 와인으 로 생산됐다 의 핵심 와인으로서 2012년까지는 100%  으로 빗어졌지만 2013년부터는 92%   8%  만들어 보라 빛을 띠며 검은 체리 향과 바닐라 매실 향이 코를 부드럽게 자 극하고 체리 자두 및 건포도가 입안을 감싸며 부드럽고 완벽한 밸런스와 피니시를 선사한다  나파 밸리 ( )는 미국에서 가장 유명한 와인 지역으로 샌프란시스코 만 북쪽에서부터 세인 트 헬레나 산 기슭까지 다양한 지형으로 붂포 되 있 어 맛과 질감이 우수한 와인을 많이 만든다 14개의 는 언덕 일조량 및 고도가 다양하게 구성되어 있는데      2013은   전체에서 최고의 포도원 만을 선택해 지형의 특성을 잘 살려 절제된 기후하에서 섬세한 스타일의 고급 와인을 만들었다
55758,     는  가 생산하고 있는 세 가지   중에서도 가장 뛰어난 집중력과 산도가 돋보이는 와인이다 이 와인은  지역에서 생산되고 있는데 토양은 진흙과 석회질을 베이스로 하고 있다 모두 수작업으로 수확되며 34회의 (포도 선별) 과정을 거친다  양조 과정에서는 자연 효모만을 사용하며 12개월의 오크 숙성을 거치는데 최고의 오크 생산지인 에서 생산된 오크통만 사용한다 는 의 오크통이 과일과 꽃향기 등 와인 자체가 가지고 있는 특성을 잘 드러내 준다고 한다 숙성 과정에서는 찌꺼기()를 함께 숙성시켜 와인에 풍미를 더해 주고 숙성 과정에서 은 하지 않는다 그리고 중력을 이용해 천천히 병입하는데 와인이 받는 스트레스를 최대한으로 줄이기 위함이다
55741,     는 오너이자 와인 메이커인  가 가장  스러운  를 만들고 싶었다”라고 표현할 만큼  의 남성적인 캐릭터와 여성적인 캐릭터를 동시에 표현한 와인으로 화려함과 우아함 그리고 음성적인 느낌을 모두 지닌 와인이다 그리고 다른 빌라쥬급  에 비해서 뛰어난 집중도와 파워를 겸비하고 있으며 끝 맛에서 느껴지는 미네랄 캐릭터가 매우 인상적이다
61099,     를 기반으로 한 샴페인에 레드와인을 10% 블렌딩한 로제와인이다 연 생산량은 2800병 내외이며 뛰어난 숙성잠재력과 복합미를 지니고 있으며 는 2/ 이다
55851,     은  지역에 위치한   포도밭에서 생산된 샤르도네만을 사용해 만들어진다 완전히 숙성된 포도들은 여러 번의 선별 과정을 거쳐 오크와 스틸 탱크에서 각각 숙성을 시켰고 이후 5년 동안의 병입 후 숙성 기간을 거쳐 2013년 3월에 를 마쳤으며 최종 잔당은 25 /이다  이 와인은  지역의 가 지니고 있는 뛰어난 산도와 미네랄 캐릭터가 돋보이는 와인으로 입안에서 끊임없이 퍼지는 부드러운 버블과 2008 빈티지가 주는 풍성하면서도 복합적인 캐릭터를 아주 잘 표현한 와인이다
61132,    1 는 이전에는  라는 이름으로 불리었으며 알콜도수는 10~11%로 아주 낮은 편에 속한다 이전에 생산되었던 와인과는 다른 형태의 와인으로 와인에 우아함과 섬세함을 부여하기 위해서 과도한 스킨 컨택이나 인위적인 작업은 진행하지 않는다
61129,    2010는  &  지역의   포도밭에서 생산된 샤르도네만을 사용해 만들어진다 이 와인은 이 소유한 의 밭에서 가장 오래된 올드 바인만을 골라 만들어진다 이 와인은  지역의 샤르도네가 지니고 있는 뛰어난 산도와 미네랄 캐릭터가 돋보이는 와인으로 입 안에서 끊임없이 퍼지는 부드러운 버블과 뛰어난 밸런스가 특징적이다
59199,    구획에서 생산되며 젖산발효 및 과 을 하지 않는다 단일   로는 만들어내기 쉽지 않은 구조감과 산도를 지니고 있으며 장기숙성 또한 가능하다   12개월 동안 오크통에서 숙성이 진행되며 2011년 빈티지를 베이스로 한 와인에 3년 동안 병입숙성을 진행한 후 2014년 3월에 를 진행하였다  는 1/ 이고 총 생산량은 3000병이다
55854,    는  지역의   포도밭에서 생산된 샤르도네만을 사용해 만들어진다 이 와인은 2008 빈티지와 2009 빈티지가 1:1의 비율로 블렌딩되었으며  이 소유한 의 밭에서 가장 오래된 올드 바인만을 골라 만들어진다  셀러에서 3년의 병입 후 숙성 기간을 거치고 2011년 3월에 를 마쳤으며 최종 잔당은 7/이다 이 와인은  지역의 샤르도네가 지니고 있는 뛰어난 산도와 미네랄 캐릭터가 돋보이는 와인으로 입 안에서 끊임없이 퍼지는 부드러운 버블과 뛰어난 밸런스가 특징적이다
